season,week,stadium,temperature,precipitation,wind_speed,dome
2022,1,SoFi Stadium,85.8,0.087,23.5,False
2022,1,Mercedes-Benz Stadium,72.0,0.0,0.0,True
2022,1,Soldier Field,67.7,1.386,18.4,False
2022,1,Paycor Stadium,71.7,0.151,11.0,False
2022,1,Ford Field,72.0,0.0,0.0,True
2022,1,Hard Rock Stadium,84.2,0.266,12.8,False
2022,1,MetLife Stadium,70.2,0.178,6.6,False
2022,1,Bank of America Stadium,76.4,0.052,9.7,False
2022,1,NRG Stadium,72.0,0.0,0.0,True
2022,1,U.S. Bank Stadium,72.0,0.0,0.0,True
2022,1,State Farm Stadium,72.0,0.0,0.0,True
2022,1,SoFi Stadium,79.3,0.001,17.3,False
2022,1,AT&T Stadium,72.0,0.0,0.0,True
2022,1,Lumen Field,65.7,0.0,5.8,False
2022,2,Ford Field,72.0,0.0,0.0,True
2022,2,Caesars Superdome,72.0,0.0,0.0,True
2022,2,MetLife Stadium,72.3,0.0,16.7,False
2022,2,Acrisure Stadium,71.1,0.0,13.7,False
2022,2,M&T Bank Stadium,72.7,0.0,7.5,False
2022,2,SoFi Stadium,70.2,0.0,12.9,False
2022,2,Levi's Stadium,64.7,0.492,23.5,False
2022,2,AT&T Stadium,72.0,0.0,0.0,True
2022,2,Empower Field at Mile High,66.3,0.0,17.5,False
2022,2,Allegiant Stadium,72.0,0.0,0.0,True
2022,2,Lambeau Field,67.8,0.0,8.3,False
2022,2,Highmark Stadium,70.2,0.255,18.7,False
2022,2,Lincoln Financial Field,74.5,0.0,15.2,False
2022,3,Soldier Field,62.6,0.074,15.0,False
2022,3,Lucas Oil Stadium,72.0,0.0,0.0,True
2022,3,Hard Rock Stadium,82.5,0.007,11.3,False
2022,3,U.S. Bank Stadium,72.0,0.0,0.0,True
2022,3,Gillette Stadium,57.3,0.0,12.4,False
2022,3,MetLife Stadium,60.0,0.086,13.9,False
2022,3,Bank of America Stadium,65.9,0.0,11.8,False
2022,3,SoFi Stadium,73.1,0.0,17.5,False
2022,3,State Farm Stadium,72.0,0.0,0.0,True
2022,3,Lumen Field,64.8,0.0,9.9,False
2022,3,Raymond James Stadium,81.0,0.0,6.9,False
2022,3,Empower Field at Mile High,63.8,0.0,10.7,False
2022,3,MetLife Stadium,61.7,0.0,18.3,False
2022,4,Paycor Stadium,55.2,0.0,13.3,False
2022,4,Mercedes-Benz Stadium,72.0,0.0,0.0,True
2022,4,AT&T Stadium,72.0,0.0,0.0,True
2022,4,Ford Field,72.0,0.0,0.0,True
2022,4,Lucas Oil Stadium,72.0,0.0,0.0,True
2022,4,MetLife Stadium,57.9,0.012,17.3,False
2022,4,Lincoln Financial Field,56.1,1.66,22.2,False
2022,4,Acrisure Stadium,55.0,0.186,11.1,False
2022,4,M&T Bank Stadium,57.3,0.547,16.2,False
2022,4,NRG Stadium,72.0,0.0,0.0,True
2022,4,Bank of America Stadium,59.6,0.0,16.9,False
2022,4,Lambeau Field,57.3,0.0,13.1,False
2022,4,Allegiant Stadium,72.0,0.0,0.0,True
2022,4,Raymond James Stadium,73.8,0.0,11.1,False
2022,4,Levi's Stadium,63.6,0.0,10.2,False
2022,5,Empower Field at Mile High,44.9,0.0,15.5,False
2022,5,Highmark Stadium,54.4,0.0,20.3,False
2022,5,U.S. Bank Stadium,72.0,0.0,0.0,True
2022,5,Gillette Stadium,47.4,0.0,14.6,False
2022,5,Caesars Superdome,72.0,0.0,0.0,True
2022,5,MetLife Stadium,51.0,0.0,12.5,False
2022,5,Raymond James Stadium,77.3,0.0,8.5,False
2022,5,Bank of America Stadium,58.0,0.0,9.0,False
2022,5,SoFi Stadium,68.5,0.0,11.2,False
2022,5,State Farm Stadium,72.0,0.0,0.0,True
2022,5,M&T Bank Stadium,54.3,0.0,8.5,False
2022,6,Soldier Field,48.3,0.075,17.2,False
2022,6,Mercedes-Benz Stadium,72.0,0.0,0.0,True
2022,6,Lambeau Field,45.0,0.011,13.3,False
2022,6,Lucas Oil Stadium,72.0,0.0,0.0,True
2022,6,Hard Rock Stadium,81.1,0.0,15.3,False
2022,6,Caesars Superdome,72.0,0.0,0.0,True
2022,6,MetLife Stadium,56.2,0.0,7.4,False
2022,6,Acrisure Stadium,51.9,0.0,11.1,False
2022,6,SoFi Stadium,67.4,0.0,12.7,False
2022,6,Lumen Field,64.7,0.0,9.1,False
2022,6,Lincoln Financial Field,59.8,0.438,11.9,False
2022,6,SoFi Stadium,71.5,0.0,12.8,False
2022,7,State Farm Stadium,72.0,0.0,0.0,True
2022,7,Paycor Stadium,60.9,0.0,12.2,False
2022,7,AT&T Stadium,72.0,0.0,0.0,True
2022,7,Bank of America Stadium,56.4,0.0,8.2,False
2022,7,M&T Bank Stadium,55.7,0.129,9.6,False
2022,7,Empower Field at Mile High,55.3,0.004,27.9,False
2022,7,Allegiant Stadium,72.0,0.0,0.0,True
2022,7,SoFi Stadium,64.9,0.0,14.1,False
2022,7,Levi's Stadium,58.6,0.0,16.5,False
2022,7,Hard Rock Stadium,76.3,0.018,13.0,False
2022,7,Gillette Stadium,61.6,0.087,7.2,False
2022,8,Raymond James Stadium,78.0,0.409,12.7,False
2022,8,Mercedes-Benz Stadium,72.0,0.0,0.0,True
2022,8,AT&T Stadium,72.0,0.0,0.0,True
2022,8,Ford Field,72.0,0.0,0.0,True
2022,8,U.S. Bank Stadium,72.0,0.0,0.0,True
2022,8,Caesars Superdome,72.0,0.0,0.0,True
2022,8,MetLife Stadium,49.0,0.0,4.3,False
2022,8,Lincoln Financial Field,50.7,0.0,4.9,False
2022,8,NRG Stadium,72.0,0.0,0.0,True
2022,8,Lucas Oil Stadium,72.0,0.0,0.0,True
2022,8,SoFi Stadium,65.6,0.0,9.7,False
2022,8,Lumen Field,53.4,0.039,14.8,False
2022,8,Highmark Stadium,54.2,0.051,8.7,False
2022,9,NRG Stadium,72.0,0.0,0.0,True
2022,9,Mercedes-Benz Stadium,72.0,0.0,0.0,True
2022,9,Soldier Field,53.2,0.0,19.7,False
2022,9,Paycor Stadium,60.9,0.0,16.6,False
2022,9,Ford Field,72.0,0.0,0.0,True
2022,9,Gillette Stadium,70.5,0.0,16.1,False
2022,9,MetLife Stadium,68.9,0.011,10.0,False
2022,9,State Farm Stadium,72.0,0.0,0.0,True
2022,9,Raymond James Stadium,79.0,0.0,11.3,False
2022,9,Caesars Superdome,72.0,0.0,0.0,True
2022,10,Bank of America Stadium,68.1,0.491,21.9,False
2022,10,Highmark Stadium,36.3,0.046,13.7,False
2022,10,Soldier Field,32.8,0.0,11.8,False
2022,10,Hard Rock Stadium,76.9,0.0,9.0,False
2022,10,MetLife Stadium,49.7,0.075,17.6,False
2022,10,Acrisure Stadium,36.0,0.0,14.3,False
2022,10,Allegiant Stadium,72.0,0.0,0.0,True
2022,10,Lambeau Field,30.4,0.0,13.2,False
2022,10,SoFi Stadium,59.1,0.0,16.9,False
2022,10,Levi's Stadium,50.9,0.0,7.8,False
2022,10,Lincoln Financial Field,38.9,0.743,13.1,False
2022,11,Lambeau Field,22.8,0.011,20.2,False
2022,11,Mercedes-Benz Stadium,72.0,0.0,0.0,True
2022,11,Ford Field,72.0,0.0,0.0,True
2022,11,Lucas Oil Stadium,72.0,0.0,0.0,True
2022,11,Gillette Stadium,31.5,0.0,19.6,False
2022,11,Caesars Superdome,72.0,0.0,0.0,True
2022,11,MetLife Stadium,32.2,0.0,20.2,False
2022,11,M&T Bank Stadium,32.7,0.0,23.9,False
2022,11,NRG Stadium,72.0,0.0,0.0,True
2022,11,Empower Field at Mile High,33.5,0.0,10.5,False
